J13	2013	@	Computational Linguistics, Volume 39, Issue 1 - March 2013
J14	2014	@	Computational Linguistics, Volume 40, Issue 1 - March 2014
J15	2015	@	Computational Linguistics, Volume 41, Issue 1 - March 2015
J16	2016	@	Computational Linguistics, Volume 42, Issue 1 - March 2016
J17	2017	@	Computational Linguistics, Volume 43, Issue 1 - April 2017
J18	2018	@	Computational Linguistics, Volume 44, Issue 1 - April 2018
J19	2019	@	Computational Linguistics, Volume 45, Issue 1 - March 2019
J74	1974	@	American Journal of Computational Linguistics (September 1974)
J75	1975	@	American Journal of Computational Linguistics (April 1975)
J76	1976	@	American Journal of Computational Linguistics (February 1976)
J77	1977	@	American Journal of Computational Linguistics (February 1977)
J78	1978	@	American Journal of Computational Linguistics (February 1978)
J80	1980	@	American Journal of Computational Linguistics, Volume 6, Number 1, January-March 1980
J81	1981	@	American Journal of Computational Linguistics, Volume 7, Number 1, January-March 1981
J82	1982	@	American Journal of Computational Linguistics, Volume 8, Number 1, January-March 1982
J83	1983	@	American Journal of Computational Linguistics, Volume 9, Number 1, January-March 1983
J84	1984	@	Computational Linguistics. Formerly the American Journal of Computational Linguistics, Volume 10, Number1, January-March 1984
J85	1985	@	Computational Linguistics Formerly the American Journal of Computational Linguistics, Volume 11, Number 1, January-March 1985
J86	1986	@	Computational Linguistics. Formerly the American Journal of Computational Linguistics, Volume 12, Number 1, January-March 1986
J87	1987	@	Computational Linguistics, Formerly the American Journal of Computational Linguistics, Volume 13, Numbers 1-2, January-June 1987
J88	1988	@	Computational Linguistics Association, Formerly the American Journal of Computational Linguistics, Volume 14, Number 1, Winter 1988
J89	1989	@	Computational Linguistics, Volume 15, Number 1, March 1989
J90	1990	@	Computational Linguistics, Volume 16, Number 1, March 1990
J91	1991	@	Computational Linguistics, Volume 17, Number 1, March 1991
J92	1992	@	Computational Linguistics, Volume 18, Number 1, March 1992
J93	1993	@	Computational Linguistics, Volume 19, Number 1, March 1993, Special Issue on Using Large Corpora: I
J94	1994	@	Computational Linguistics, Volume 20, Number 1, March 1994
J95	1995	@	Computational Linguistics, Volume 21, Number 1, March 1995
J96	1996	@	Computational Linguistics, Volume 22, Number 1, March 1996
J97	1997	@	Computational Linguistics, Volume 23, Number 1, March 1997
J98	1998	@	Computational Linguistics, Volume 24, Number 1, March 1998 - Special Issue on Word Sense Disambiguation
J99	1999	@	Computational Linguistics, Volume 25, Number 1, March 1999
K15	2015	Beijing, China	Proceedings of the Nineteenth Conference on Computational Natural Language Learning
K16	2016	Berlin, Germany	Proceedings of The 20th SIGNLL Conference on Computational Natural Language Learning
K17	2017	Vancouver, Canada	Proceedings of the 21st Conference on Computational Natural Language Learning (CoNLL 2017)
K18	2018	Brussels, Belgium	Proceedings of the 22nd Conference on Computational Natural Language Learning
K19	2019	Hong Kong	Proceedings of the 23rd Conference on Computational Natural Language Learning (CoNLL)
L00	2000	Athens, Greece	Proceedings of the Second International Conference on Language Resources and Evaluation (LREC’00)
L02	2002	Las Palmas, Canary Islands - Spain	Proceedings of the Third International Conference on Language Resources and Evaluation (LREC’02)
L04	2004	Lisbon, Portugal	Proceedings of the Fourth International Conference on Language Resources and Evaluation (LREC’04)
L06	2006	Genoa, Italy	Proceedings of the Fifth International Conference on Language Resources and Evaluation (LREC’06)
L08	2008	Marrakech, Morocco	Proceedings of the Sixth International Conference on Language Resources and Evaluation (LREC'08)
L10	2010	Valletta, Malta	Proceedings of the Seventh International Conference on Language Resources and Evaluation (LREC'10)
L12	2012	Istanbul, Turkey	Proceedings of the Eighth International Conference on Language Resources and Evaluation (LREC'12)
L14	2014	Reykjavik, Iceland	Proceedings of the Ninth International Conference on Language Resources and Evaluation (LREC'14)
