2020.sltu.1	Proceedings of the 1st Joint Workshop on Spoken Language Technologies for Under-resourced languages (SLTU) and Collaboration and Computing for Under-Resourced Languages (CCURL)	2020	@
2020.smm4h.1	Proceedings of the Fifth Social Media Mining for Health Applications Workshop & Shared Task	2020	@
2020.socialnlp.1	Proceedings of the Eighth International Workshop on Natural Language Processing for Social Media	2020	@
2020.splu.1	Proceedings of the Third International Workshop on Spatial Language Understanding	2020	@
2020.spnlp.1	Proceedings of the Fourth Workshop on Structured Prediction for NLP	2020	@
2020.starsem.1	Proceedings of the Ninth Joint Conference on Lexical and Computational Semantics	2020	@
2020.stoc.1	Proceedings for the First International Workshop on Social Threats in Online Conversations: Understanding and Management	2020	@
2020.sustainlp.1	Proceedings of SustaiNLP: Workshop on Simple and Efficient Natural Language Processing	2020	@
2020.tacl.1	Transactions of the Association for Computational Linguistics, Volume 8	2020	@
2020.textgraphs.1	Proceedings of the Graph-based Methods for Natural Language Processing (TextGraphs)	2020	@
2020.tlt.1	Proceedings of the 19th International Workshop on Treebanks and Linguistic Theories	2020	@
2020.trac.1	Proceedings of the Second Workshop on Trolling, Aggression and Cyberbullying	2020	@
2020.udw.1	Proceedings of the Fourth Workshop on Universal Dependencies (UDW 2020)	2020	@
2020.vardial.1	Proceedings of the 7th Workshop on NLP for Similar Languages, Varieties and Dialects	2020	@
2020.wac.1	Proceedings of the 12th Web as Corpus Workshop	2020	@
2020.wanlp.1	Proceedings of the Fifth Arabic Natural Language Processing Workshop	2020	@
2020.wat.1	Proceedings of the 7th Workshop on Asian Translation	2020	@
2020.webnlg.1	Proceedings of the 3rd International Workshop on Natural Language Generation from the Semantic Web (WebNLG+)	2020	@
2020.wildre.1	Proceedings of the WILDRE5– 5th Workshop on Indian Language Data: Resources and Evaluation	2020	@
2020.winlp.1	Proceedings of the The Fourth Widening Natural Language Processing Workshop	2020	@
2020.wmt.1	Proceedings of the Fifth Conference on Machine Translation	2020	@
2020.wnut.1	Proceedings of the Sixth Workshop on Noisy User-generated Text (W-NUT 2020)	2020	@
2020.wosp.1	Proceedings of the 8th International Workshop on Mining Scientific Publications	2020	@
A00.1	Sixth Applied Natural Language Processing Conference	2000	Seattle, Washington, USA
A00.2	1st Meeting of the North American Chapter of the Association for Computational Linguistics	2000	Seattle, Washington, USA
A00.3	Proceedings of the ANLP-NAACL 2000 Student Research Workshop	2000	Seattle, Washington, USA
A00.4	Author Index to the Proceedings of ANLP-NAACL 2000 and the Student Research Workshop	2000	Seattle, Washington, USA
A83.1	First Conference on Applied Natural Language Processing	1983	Santa Monica, California, USA
A88.1	Second Conference on Applied Natural Language Processing	1988	Austin, Texas, USA
A92.1	Third Conference on Applied Natural Language Processing	1992	Trento, Italy
A94.1	Fourth Conference on Applied Natural Language Processing	1994	Stuttgart, Germany
A97.1	Fifth Conference on Applied Natural Language Processing	1997	Washington, DC, USA
A97.2	Fifth Conference on Applied Natural Language Processing: Descriptions of System Demonstrations and Videos	1997	Washington, DC, USA
C00.1	COLING 2000 Volume 1: The 18th International Conference on Computational Linguistics	2000	Saarbrücken, Germany
C00.2	COLING 2000 Volume 2: The 18th International Conference on Computational Linguistics	2000	Saarbrücken, Germany
C02.1	COLING 2002: The 19th International Conference on Computational Linguistics	2002	Taipei, Taiwan
C02.2	COLING 2002: The 17th International Conference on Computational Linguistics: Project Notes	2002	Taipei, Taiwan
